kabupaten_kota,latitude,longitude
Kabupaten Murung Raya,-0.13622,114.33414
Kota Palangka Raya,-2.21605,113.91059
Kabupaten Tanah Laut,-3.7694,114.80927
Kabupaten Kota Baru,-3.65099,116.18746
Kabupaten Banjar,-3.41101,114.84438
Kabupaten Barito Kuala,-3.07147,114.66679
Kabupaten Tapin,-2.91607,115.0466
Kabupaten Hulu Sungai Selatan,-2.76627,115.23634
Kabupaten Hulu Sungai Tengah,-2.61532,115.52074
Kabupaten Hulu Sungai Utara,-2.44212,115.18892
Kabupaten Tabalong,-2.16405,115.38353
Kabupaten Tanah Bumbu,-3.45122,115.94716
Kabupaten Balangan,-2.32604,115.61547
Kota Banjarmasin,-3.3285,114.5892
Kota Banjar Baru,-3.43978,114.82562
Kabupaten Paser,-1.71753,115.9468
Kabupaten Kutai Barat,0.13539,115.09405
Kabupaten Kutai Kartanegara,-0.13367,116.60817
Kabupaten Kutai Timur,0.94338,116.98524
Kabupaten Berau,2.04509,117.36165
Kabupaten Penajam Paser Utara,-1.29171,116.5138
Kabupaten Mahakam Hulu,0.51412,115.27025
Kota Balikpapan,-1.26354,116.82788
Kota Samarinda,-0.50218,117.1538
Kota Bontang,0.11993,117.47938
Kabupaten Malinau,3.58422,116.6478
Kabupaten Bulungan,2.90425,116.98524
Kabupaten Tana Tidung,3.55187,117.07941
Kabupaten Nunukan,4.06092,117.66695
Kota Tarakan,3.32602,117.5777
Kabupaten Bolaang Mongondow,0.6871,124.06414
Kabupaten Minahasa,1.30195,124.91329
Kabupaten Kepulauan Sangihe,3.53032,125.5439
Kabupaten Kepulauan Talaud,4.092,126.768
Kabupaten Minahasa Selatan,1.09468,124.46418
Kabupaten Minahasa Utara,1.5328,124.99475
Kabupaten Bolaang Mongondow Utara,0.81869,123.52801
Kabupaten Siau Tagulandang Biaro,2.34596,125.41244
Kabupaten Minahasa Tenggara,1.02786,124.72988
Kabupaten Bolaang Mongondow Selatan,0.4053,123.8411
Kabupaten Bolaang Mongondow Timur,0.7153,124.4642
Kota Manado,1.4917,124.84284
Kota Bitung,1.45535,125.2047
Kota Tomohon,1.32341,124.83845
Kota Kotamobagu,0.73333,124.31667
Kabupaten Banggai Kepulauan,-1.36872,123.16867
Kabupaten Banggai,-0.93818,122.79184
Kabupaten Morowali,-2.30031,121.93497
Kabupaten Poso,-1.39192,120.767
Kabupaten Donggala,-0.42332,119.83523
Kabupaten Toli-Toli,0.87682,120.75798
Kabupaten Buol,0.96955,121.35416
Kabupaten Parigi Moutong,0.58176,120.80395
Kabupaten Tojo Una-Una,-0.86865,121.58473
Kabupaten Sigi,-1.38341,120.06652
Kabupaten Banggai Laut,-1.6735,123.5504
Kabupaten Morowali Utara,-1.6312,121.3542
Kota Palu,-0.89858,119.8506
Kabupaten Kepulauan Selayar,-6.287,120.5049
Kabupaten Bulukumba,-5.43294,120.20511
Kabupaten Bantaeng,-5.51693,120.0203
Kabupaten Jeneponto,-5.55458,119.67309
Kabupaten Takalar,-5.41625,119.48757
Kabupaten Gowa,-5.31029,119.7426
Kabupaten Sinjai,-5.2172,120.11274
Kabupaten Maros,-4.94695,119.5789
Kabupaten Pangkajene Dan Kepulauan,-4.80504,119.55717
Kabupaten Barru,-4.41727,119.67309
Kabupaten Bone,-2.08333,120.21667
Kabupaten Soppeng,-4.35185,119.92779
Kabupaten Wajo,-4.02223,120.06652
Kabupaten Sidenreng Rappang,-3.7739,120.0203
Kabupaten Pinrang,-3.79307,119.6408
Kabupaten Enrekang,-3.56313,119.7612
Kabupaten Luwu,-3.30522,120.25127
Kabupaten Tana Toraja,-3.0753,119.7426
Kabupaten Luwu Utara,-2.26904,119.97405
Kabupaten Luwu Timur,-2.58255,121.17104
Kabupaten Toraja Utara,-2.86219,119.83523
Kota Makassar,-5.13333,119.41667
Kota Parepare,-4.0096,119.6291
Kota Palopo,-3.00212,120.19809
Kabupaten Buton,-5.30964,122.98883
Kabupaten Muna,-4.83225,122.72062
Kabupaten Konawe,-3.85473,122.04333
Kabupaten Kolaka,-4.04967,121.5938
Kabupaten Konawe Selatan,-4.20279,122.44672
Kabupaten Bombana,-4.65435,121.9018
Kabupaten Wakatobi,-5.32644,123.59519
Kabupaten Kolaka Utara,-3.13472,121.17104
Kabupaten Buton Utara,-4.70234,123.03388
Kabupaten Konawe Utara,-3.51208,122.11101
Kabupaten Kolaka Timur,-4.2279,121.9018
Kabupaten Konawe Kepulauan,-4.1361,123.1239
Kabupaten Muna Barat,-4.78957,122.49816
Kabupaten Buton Tengah,-5.3891,122.5599
Kabupaten Buton Selatan,-5.60681,122.6179
Kota Kendari,-3.9722,122.5149
Kota Baubau,-5.50588,122.60136
Kabupaten Boalemo,0.70134,122.26539
Kabupaten Gorontalo,0.66354,122.96392
Kabupaten Pohuwato,0.70553,121.71955
Kabupaten Bone Bolango,0.56579,123.34861
Kabupaten Gorontalo Utara,0.92526,122.49201
Kota Gorontalo,0.53333,123.06667
Kabupaten Majene,-3.02973,118.90628
Kabupaten Polewali Mandar,-3.34193,119.13906
Kabupaten Mamasa,-2.96013,119.3682
Kabupaten Mamuju,-2.72934,118.92957
Kabupaten Mamuju Utara,-1.52645,119.51077
Kabupaten Mamuju Tengah,-1.9354,119.5108
Kabupaten Maluku Tenggara Barat,-7.98349,131.3023
Kabupaten Maluku Tenggara,-5.6631,132.73781
Kabupaten Maluku Tengah,-3.01665,129.48644
Kabupaten Buru,-3.23143,127.09036
Kabupaten Kepulauan Aru,-6.19465,134.55019
Kabupaten Seram Bagian Barat,-3.12716,128.40084
Kabupaten Seram Bagian Timur,-3.41508,130.39049
Kabupaten Maluku Barat Daya,-7.78516,126.34981
Kabupaten Buru Selatan,-3.83757,126.734305
Kota Ambon,-3.65607,128.16642
Kota Tual,-5.64085,132.74751
Kabupaten Halmahera Barat,1.07478,127.47239
Kabupaten Halmahera Tengah,0.3385,127.87139
Kabupaten Kepulauan Sula,-1.86667,125.36667
Kabupaten Halmahera Selatan,-0.62584,127.4831
Kabupaten Halmahera Utara,1.7251,128.00373
Kabupaten Halmahera Timur,0.69114,128.28043
Kabupaten Pulau Morotai,2.3657,128.4008
Kabupaten Pulau Taliabu,-1.8268,124.7741
Kota Ternate,0.78333,127.36667
Kota Tidore Kepulauan,0.68333,127.44725
Kabupaten Fakfak,-2.88524,132.26583
Kabupaten Kaimana,-3.66093,133.77451
Kabupaten Teluk Wondama,-2.85517,134.32366
Kabupaten Teluk Bintuni,-1.90568,133.32947
Kabupaten Manokwari,-0.86145,134.06204
Kabupaten Sorong Selatan,-1.44375,132.0187
Kabupaten Sorong,-0.956132,131.33747
Kabupaten Raja Ampat,-1.09152,130.87786
Kabupaten Tambrauw,-0.78186,132.39384
Kabupaten Maybrat,-1.2971,132.3151
Kabupaten Manokwari Selatan,-1.51673,134.17932
Kabupaten Pegunungan Arfak,-1.1555,133.7142
Kota Sorong,-0.87883,131.2589
Kabupaten Merauke,-8.49604,140.39455
Kabupaten Jayawijaya,-4.00045,138.79951
Kabupaten Jayapura,-2.54958,140.47759
Kabupaten Nabire,-3.50955,135.7521
Kabupaten Kepulauan Yapen,-1.74694,136.1709
Kabupaten Biak Numfor,-1.0381,135.98008
Kabupaten Paniai,-3.78764,136.36247
Kabupaten Puncak Jaya,-3.72805,137.98589
Kabupaten Mimika,-4.45532,137.13621
Kabupaten Boven Digoel,-6.09967,140.34818
Kabupaten Mappi,-7.10223,139.39639
Kabupaten Asmat,-5.0574,138.39882
Kabupaten Yahukimo,-4.88689,139.52088
Kabupaten Pegunungan Bintang,-4.55899,140.51356
Kabupaten Tolikara,-3.48113,138.47873
Kabupaten Sarmi,-1.86873,138.74361
Kabupaten Keerom,-3.34495,140.76245
Kabupaten Waropen,-2.84357,136.67053
Kabupaten Supiori,-0.72951,135.63851
Kabupaten Mamberamo Raya,-2.53313,137.76376
Kabupaten Nduga,-4.40695,138.23935
Kabupaten Lanny Jaya,-3.97103,138.31903
Kabupaten Mamberamo Tengah,-3.67108,139.0626
Kabupaten Yalimo,-3.78528,139.4466
Kabupaten Puncak,-3.97143,137.64241
Kabupaten Dogiyai,-4.01939,135.96104
Kabupaten Intan Jaya,-3.50764,136.74785
Kabupaten Deiyai,-4.09749,136.43931
Kota Jayapura,-2.59048,140.6754
