,kabupaten,tahun,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
59,ACEH SINGKIL,2019,27.825397260273974,28.882246575342467,26.85254794520548,2806.49,79.95317808219178,2.114109589041096,18.59868493150685
60,ACEH SINGKIL,2020,27.84136612021858,28.933497267759563,26.801939890710383,3073.84,78.8255737704918,2.0525956284153004,18.690300546448086
61,ACEH SINGKIL,2021,27.68621917808219,28.76986301369863,26.65931506849315,3131.29,78.4186301369863,2.043123287671233,18.573671232876713
62,ACEH SINGKIL,2022,27.564602739726027,28.60704109589041,26.587342465753423,3135.3,78.69621917808219,2.1143561643835618,18.013068493150683
63,ACEH SINGKIL,2023,27.794465753424657,28.819095890410956,26.820164383561647,2798.58,79.79931506849314,1.983123287671233,18.13350684931507
64,ACEH SINGKIL,2024,28.208224043715845,29.246803278688525,27.202540983606553,3056.85,79.72314207650273,2.0144808743169396,18.72775956284153
65,ACEH SINGKIL,2025,27.884493150684932,28.978027397260274,26.884246575342466,2918.24,79.13098630136987,2.2967945205479454,18.083945205479452
66,ACEH TAMIANG,2015,27.680328767123285,29.128465753424656,26.349808219178083,1313.45,79.17928767123287,1.9627123287671233,16.039506849315067
67,ACEH TAMIANG,2016,27.920928961748633,29.359836065573774,26.58707650273224,2079.71,79.62825136612021,2.012295081967213,16.9825956284153
68,ACEH TAMIANG,2017,27.502986301369862,28.809452054794523,26.312356164383562,2052.49,80.68778082191781,2.042821917808219,16.128054794520548
69,ACEH TAMIANG,2018,27.475506849315067,28.803643835616437,26.242383561643834,1651.08,79.90161643835617,1.7976164383561644,16.328630136986302
70,ACEH TAMIANG,2019,27.894246575342464,29.424164383561642,26.51923287671233,1258.86,78.69917808219178,1.8342465753424657,16.66980821917808
71,ACEH TAMIANG,2020,27.581584699453554,28.98707650273224,26.31513661202186,2013.08,80.37792349726776,1.8958196721311475,16.609071038251365
72,ACEH TAMIANG,2021,27.47605479452055,28.807917808219177,26.224767123287673,2244.19,80.06556164383562,1.927890410958904,16.28
73,ACEH TAMIANG,2022,27.49805479452055,28.7813698630137,26.304109589041097,2256.95,81.15509589041096,2.0832602739726025,16.236301369863014
74,ACEH TAMIANG,2023,27.91043835616438,29.22646575342466,26.6913698630137,1832.41,80.85443835616438,2.0075890410958905,16.02386301369863
75,ACEH TAMIANG,2024,28.25226775956284,29.632349726775956,26.949234972677594,1901.35,80.87346994535518,1.9241256830601094,16.624426229508195
76,ACEH TAMIANG,2025,27.856849315068494,29.239890410958903,26.594712328767123,2581.08,81.01553424657534,2.173068493150685,15.936821917808219
77,ACEH TENGAH,2015,19.930164383561646,23.587616438356164,17.346876712328765,2654.74,89.72756164383561,0.1602191780821918,17.427972602739725
78,ACEH TENGAH,2016,19.781147540983607,23.586721311475408,16.979562841530054,2755.59,89.25642076502731,0.17188524590163937,17.387185792349726
79,ACEH TENGAH,2017,19.588246575342467,23.299561643835617,16.857068493150685,2963.33,89.68860273972602,0.16424657534246576,17.314767123287673
80,ACEH TENGAH,2018,19.67895890410959,23.37621917808219,16.988301369863013,2917.82,89.4221095890411,0.16342465753424656,17.31082191780822
81,ACEH TENGAH,2019,20.080164383561645,24.075369863013698,17.18635616438356,2079.35,88.68816438356164,0.16684931506849315,17.766027397260274
82,ACEH TENGAH,2020,19.90860655737705,23.628415300546447,17.188688524590166,3531.92,89.71822404371585,0.16054644808743168,17.21535519125683
83,ACEH TENGAH,2021,19.606328767123287,23.425123287671234,16.790109589041098,3062.74,89.45564383561644,0.16284931506849315,17.46764383561644
84,ACEH TENGAH,2022,19.492191780821916,23.069397260273973,16.828164383561642,3287.51,90.00024657534246,0.1703013698630137,16.679917808219177
85,ACEH TENGAH,2023,20.12917808219178,23.801068493150684,17.43076712328767,3050.45,89.8064109589041,0.16764383561643836,16.832
86,ACEH TENGAH,2024,20.519781420765028,24.117213114754097,17.87087431693989,2903.72,89.74986338797814,0.16683060109289619,17.333333333333332
87,ACEH TENGAH,2025,19.829780821917808,23.61191780821918,17.06750684931507,3465.39,88.81424657534247,0.17536986301369864,16.75482191780822
88,ACEH TENGGARA,2015,20.812520547945205,23.998547945205477,18.705287671232877,2175.9,89.81739726027396,0.26224657534246576,16.909424657534245
89,ACEH TENGGARA,2016,20.77598360655738,24.084726775956284,18.48450819672131,2707.92,89.04166666666667,0.2715027322404372,17.67516393442623
90,ACEH TENGGARA,2017,20.548931506849314,23.774767123287674,18.35635616438356,2717.18,89.67986301369864,0.26865753424657535,17.245287671232877
91,ACEH TENGGARA,2018,20.623315068493152,24.003095890410957,18.36723287671233,2467.78,88.93194520547945,0.2645753424657534,17.281260273972602
92,ACEH TENGGARA,2019,21.038958904109588,24.346712328767122,18.83805479452055,2207.46,89.34619178082193,0.26421917808219175,17.492712328767123
93,ACEH TENGGARA,2020,20.862377049180328,24.294890710382514,18.58,3153.86,89.18756830601093,0.25510928961748636,17.35204918032787
94,ACEH TENGGARA,2021,20.623506849315067,23.955260273972602,18.352273972602738,3015.32,88.6641095890411,0.26408219178082193,17.42454794520548
95,ACEH TENGGARA,2022,20.457424657534247,23.71750684931507,18.244575342465755,2818.17,89.23134246575341,0.26824657534246577,16.653205479452055
96,ACEH TENGGARA,2023,21.04186301369863,24.223917808219177,18.898630136986302,2726.81,89.65446575342466,0.2633150684931507,16.651095890410957
97,ACEH TENGGARA,2024,21.444972677595626,24.60644808743169,19.31122950819672,2693.63,89.51959016393442,0.26166666666666666,17.069371584699454
98,ACEH TENGGARA,2025,20.767260273972603,24.17254794520548,18.403123287671235,2820.34,88.30279452054795,0.2746027397260274,16.661890410958904
99,ACEH TIMUR,2015,26.88602739726027,29.127123287671232,25.095041095890412,1764.17,81.46909589041096,1.6521643835616437,16.870520547945205
100,ACEH TIMUR,2016,27.148879781420764,29.649644808743172,25.117158469945352,1702.65,81.06459016393443,1.7105737704918034,17.271284153005464
101,ACEH TIMUR,2017,26.791534246575342,29.044493150684932,25.01476712328767,2244.25,82.03098630136986,1.7203835616438357,16.90668493150685
102,ACEH TIMUR,2018,26.7666301369863,29.00690410958904,24.968,1924.7,81.56249315068493,1.549945205479452,17.03005479452055
103,ACEH TIMUR,2019,27.122383561643836,29.481753424657533,25.252410958904107,1368.33,80.80473972602739,1.5780821917808219,17.208109589041097
104,ACEH TIMUR,2020,26.87243169398907,29.175191256830605,25.0679781420765,2371.39,81.928087431694,1.5899453551912568,16.83226775956284
105,ACEH TIMUR,2021,26.73704109589041,28.99512328767123,24.92827397260274,2222.08,81.66750684931506,1.6289041095890409,16.800520547945204
106,ACEH TIMUR,2022,26.765205479452053,28.993671232876714,24.965424657534243,2511.18,82.75032876712328,1.718054794520548,16.506383561643837
107,ACEH TIMUR,2023,27.174301369863016,29.386575342465754,25.392520547945207,2074.49,82.89534246575342,1.7461643835616438,16.62994520547945
108,ACEH TIMUR,2024,27.550054644808743,29.819726775956287,25.704125683060106,1829.1200000000001,82.50918032786885,1.6773497267759563,17.110655737704917
109,ACEH TIMUR,2025,27.108027397260276,29.486191780821915,25.176109589041097,2692.86,82.57536986301369,1.8154794520547946,16.523671232876712
110,ACEH UTARA,2015,26.88602739726027,29.127123287671232,25.095041095890412,1764.17,81.46909589041096,1.6521643835616437,16.818684931506848
111,ACEH UTARA,2016,27.148879781420764,29.649644808743172,25.117158469945352,1702.65,81.06459016393443,1.7105737704918034,17.71035519125683
112,ACEH UTARA,2017,26.791534246575342,29.044493150684932,25.01476712328767,2244.25,82.03098630136986,1.7203835616438357,16.643287671232876
113,ACEH UTARA,2018,26.7666301369863,29.00690410958904,24.968,1924.7,81.56249315068493,1.549945205479452,16.807123287671235
114,ACEH UTARA,2019,27.122383561643836,29.481753424657533,25.252410958904107,1368.33,80.80473972602739,1.5780821917808219,17.301561643835615
115,ACEH UTARA,2020,26.87243169398907,29.175191256830605,25.0679781420765,2371.39,81.928087431694,1.5899453551912568,17.036803278688524
116,ACEH UTARA,2021,26.73704109589041,28.99512328767123,24.92827397260274,2222.08,81.66750684931506,1.6289041095890409,17.051150684931507
117,ACEH UTARA,2022,26.765205479452053,28.993671232876714,24.965424657534243,2511.18,82.75032876712328,1.718054794520548,16.185616438356163
118,ACEH UTARA,2023,27.174301369863016,29.386575342465754,25.392520547945207,2074.49,82.89534246575342,1.7461643835616438,16.822438356164383
119,ACEH UTARA,2024,27.550054644808743,29.819726775956287,25.704125683060106,1829.1200000000001,82.50918032786885,1.6773497267759563,17.23636612021858
120,ACEH UTARA,2025,27.108027397260276,29.486191780821915,25.176109589041097,2692.86,82.57536986301369,1.8154794520547946,16.710931506849313
121,AGAM,2015,26.295780821917806,27.99052054794521,25.0246301369863,3303.47,82.86868493150685,1.7387397260273971,16.143534246575342
122,AGAM,2016,26.39825136612022,28.049289617486338,25.14521857923497,4432.61,83.26398907103825,1.9392622950819671,17.16243169398907
123,AGAM,2017,26.097150684931503,27.70698630136986,24.90432876712329,3868.96,83.01419178082192,1.7647945205479452,17.108712328767123
124,AGAM,2018,26.137835616438355,27.78364383561644,24.96290410958904,4023.87,83.06832876712329,1.6971780821917808,16.947178082191783
125,AGAM,2019,26.302986301369863,28.09246575342466,25.06419178082192,3310.79,83.95049315068493,1.8228219178082192,16.59049315068493
126,AGAM,2020,26.573306010928963,28.294754098360652,25.29590163934426,4094.63,82.11489071038251,1.6452459016393441,17.304918032786887
