kabupaten,tahun,produktivitas,komoditas,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
KARAWANG,2016,61.02,Padi,25.655245901639343,28.876721311475407,23.14191256830601,3115.62,85.74587431693989,1.5395355191256832,17.005819672131146
BEKASI,2016,53.4,Padi,26.34282786885246,29.050874316939893,24.20699453551913,5900.47,84.86184426229508,1.740792349726776,16.707909836065575
BANDUNG BARAT,2016,61.59,Padi,21.89210382513661,25.4748087431694,19.16527322404372,4262.23,90.09002732240435,1.2933606557377049,17.005819672131146
PANGANDARAN,2016,59.97,Padi,25.853879781420765,29.112377049180324,23.408715846994536,4108.33,88.11046448087431,1.4465027322404371,17.107814207650275
DEPOK,2016,59.11,Padi,25.02185792349727,28.48150273224044,22.357677595628417,3082.18,87.28330601092895,1.3480601092896174,16.41
CIMAHI,2016,55.95,Padi,21.89210382513661,25.4748087431694,19.16527322404372,4262.23,90.09002732240435,1.2933606557377049,17.005819672131146
BANJAR,2016,62.12,Padi,26.476571038251365,30.14520491803279,23.803920765027325,7101.61,86.24613387978142,1.0562568306010929,17.52360655737705
BOGOR,2017,61.86,Padi,24.70709589041096,28.51501369863013,21.70268493150685,5349.04,86.25087671232876,1.4484109589041094,17.01427397260274
SUKABUMI,2017,56.4,Padi,23.738438356164384,27.57780821917808,20.87254794520548,6241.1,88.19750684931508,1.7454246575342467,17.685616438356163
CIANJUR,2017,56.13,Padi,23.738438356164384,27.57780821917808,20.87254794520548,3120.55,88.19750684931508,1.7454246575342467,17.612520547945206
BANDUNG,2017,58.74,Padi,21.393123287671237,25.473479452054796,18.30484931506849,6603.78,89.07950684931507,1.545917808219178,17.63554794520548
GARUT,2017,64.33,Padi,22.634767123287677,26.67830136986301,19.573534246575345,2844.87,88.34835616438356,1.543890410958904,17.658575342465753
TASIKMALAYA,2017,66.45,Padi,23.72950684931507,27.124219178082196,21.34695890410959,7841.0,89.7996712328767,2.1332054794520547,16.804109589041097
CIAMIS,2017,58.26,Padi,23.72950684931507,27.124219178082196,21.34695890410959,3920.5,89.7996712328767,2.1332054794520547,16.804109589041097
KUNINGAN,2017,62.79,Padi,24.781972602739724,28.592657534246573,21.90139726027397,2495.39,87.00013698630137,1.7512602739726029,18.020602739726023
CIREBON,2017,54.91,Padi,26.31854794520548,28.826150684931505,24.32935616438356,5132.65,82.83365753424657,2.67613698630137,18.020602739726023
MAJALENGKA,2017,64.48,Padi,22.634767123287677,26.67830136986301,19.573534246575345,2844.87,88.34835616438356,1.543890410958904,18.020602739726023
SUMEDANG,2017,58.92,Padi,25.618821917808223,28.694,23.191616438356167,3541.23,91.4971506849315,0.1094246575342465,17.653260273972602
INDRAMAYU,2017,53.12,Padi,26.514438356164383,29.596219178082197,23.98394520547945,2637.87,81.58619178082192,2.389260273972603,18.020602739726023
SUBANG,2017,64.33,Padi,25.338575342465752,28.96339726027397,22.388328767123287,2757.64,84.07139726027398,1.6937808219178083,17.612520547945206
PURWAKARTA,2017,52.88,Padi,25.338575342465752,28.96339726027397,22.388328767123287,2757.64,84.07139726027398,1.6937808219178083,17.612520547945206
KARAWANG,2017,57.33,Padi,25.338575342465752,28.96339726027397,22.388328767123287,2757.64,84.07139726027398,1.6937808219178083,17.612520547945206
BEKASI,2017,47.35,Padi,26.00284931506849,28.957589041095893,23.619575342465755,5251.62,84.33961643835616,1.9282465753424656,17.313397260273973
BANDUNG BARAT,2017,60.24,Padi,21.393123287671237,25.473479452054796,18.30484931506849,3301.89,89.07950684931507,1.545917808219178,17.612520547945206
PANGANDARAN,2017,56.16,Padi,25.050575342465752,28.62978082191781,22.471342465753427,2809.92,88.18454794520548,1.816,16.804109589041097
DEPOK,2017,54.86,Padi,24.70709589041096,28.51501369863013,21.70268493150685,2674.52,86.25087671232876,1.4484109589041094,17.01427397260274
CIMAHI,2017,60.47,Padi,21.393123287671237,25.473479452054796,18.30484931506849,3301.89,89.07950684931507,1.545917808219178,17.612520547945206
BANJAR,2017,60.32,Padi,25.742205479452057,29.48430136986301,23.11423287671233,5621.27,86.93942465753425,1.293082191780822,16.882246575342467
BOGOR,2018,56.15,Padi,24.85468493150685,29.05720547945205,21.47717808219178,4166.68,83.70443835616437,1.4134246575342466,17.62972602739726
SUKABUMI,2018,50.51,Padi,23.740246575342468,27.94556164383561,20.56175342465753,5243.66,86.36101369863013,1.7173424657534249,18.36542465753425
CIANJUR,2018,55.45,Padi,23.740246575342468,27.94556164383561,20.56175342465753,2621.83,86.36101369863013,1.7173424657534249,18.398246575342466
BANDUNG,2018,56.92,Padi,21.35978082191781,25.767205479452056,18.004164383561644,5595.92,87.62654794520547,1.5021095890410958,18.508657534246574
GARUT,2018,54.44,Padi,22.581917808219178,27.024136986301368,19.272794520547944,2308.61,86.76093150684932,1.625835616438356,18.619068493150685
TASIKMALAYA,2018,57.3,Padi,23.54813698630137,27.244246575342466,20.99041095890411,6705.32,88.81024657534248,2.155945205479452,17.91832876712329
